TransactionID,Date,CustomerID,CustomerSegment,Category,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod
TRX-536236,2026-04-19 14:10:59,93442,New,Home & Garden,Plant Pot,1,24.96,24.96,Debit Card
TRX-632629,2025-10-05 19:46:21,70910,Regular,Clothing,T-Shirt,1,24.46,24.46,Debit Card
TRX-270395,2025-09-30 07:32:10,49210,New,Home & Garden,Lamp,2,27.95,55.9,Credit Card
TRX-325583,2025-09-23 19:19:12,81810,New,Home & Garden,Coffee Maker,1,81.41,81.41,PayPal
TRX-946331,2026-03-08 08:00:56,85574,Regular,Clothing,T-Shirt,4,17.41,69.64,PayPal
TRX-856169,2025-11-14 05:21:03,39466,Regular,Clothing,T-Shirt,3,22.11,66.33,Credit Card
TRX-307140,2025-06-02 14:48:12,47777,New,Electronics,Smartphone,2,730.67,1461.34,Credit Card
TRX-335351,2025-07-19 14:28:40,79616,Regular,Clothing,Jeans,2,78.19,156.38,Debit Card
TRX-694397,2025-09-19 06:15:33,82063,Regular,Home & Garden,Blender,1,38.3,38.3,Credit Card
TRX-979727,2025-12-07 10:37:24,67898,New,Sports,Tennis Racket,2,60.4,120.8,PayPal
TRX-132146,2025-06-05 08:10:39,70258,New,Home & Garden,Coffee Maker,1,67.58,67.58,PayPal
TRX-311383,2025-05-17 17:14:17,15224,Regular,Clothing,Jeans,1,65.89,65.89,Debit Card
TRX-425164,2026-04-16 16:20:53,22676,New,Electronics,Laptop,1,920.07,920.07,Debit Card
TRX-526974,2026-01-30 09:15:59,72021,New,Clothing,T-Shirt,1,22.41,22.41,Debit Card
TRX-713652,2026-04-22 07:44:10,76162,Regular,Clothing,Sneakers,2,66.35,132.7,Credit Card
TRX-400384,2026-02-01 01:34:52,74569,New,Home & Garden,Blender,1,39.92,39.92,Debit Card
TRX-975355,2025-08-17 20:03:00,70931,Regular,Clothing,T-Shirt,2,23.01,46.02,Debit Card
TRX-215795,2026-03-21 01:51:43,46655,Regular,Home & Garden,Plant Pot,1,10.91,10.91,Credit Card
TRX-486996,2026-03-05 03:52:36,77839,New,Electronics,Monitor,4,392.92,1571.68,Credit Card
TRX-114892,2026-02-12 15:33:17,43972,Regular,Sports,Water Bottle,4,19.41,77.64,Credit Card
TRX-179574,2025-09-17 03:55:22,41091,New,Sports,Dumbbells,3,43.82,131.46,PayPal
TRX-710384,2025-05-10 02:53:44,59192,Regular,Electronics,Laptop,4,1440.35,5761.4,PayPal
TRX-958294,2026-01-29 05:50:55,45400,VIP,Clothing,T-Shirt,2,15.27,30.54,Debit Card
TRX-338891,2026-02-04 08:48:39,50492,Regular,Sports,Yoga Mat,2,34.15,68.3,PayPal
TRX-768324,2025-11-14 08:12:26,67733,Regular,Sports,Water Bottle,1,14.61,14.61,Credit Card
TRX-796368,2025-07-04 21:42:57,96374,New,Clothing,Jeans,1,59.07,59.07,Credit Card
TRX-231414,2025-08-31 19:50:46,53065,New,Electronics,Laptop,1,973.17,973.17,Credit Card
TRX-221909,2026-04-22 05:25:03,30676,Regular,Clothing,Jeans,1,44.8,44.8,Debit Card
TRX-312177,2025-11-19 16:57:25,99166,New,Home & Garden,Coffee Maker,1,80.85,80.85,Cash
TRX-118943,2025-12-22 10:28:39,96900,New,Sports,Dumbbells,2,27.49,54.98,Credit Card
TRX-384048,2025-09-08 16:56:23,13278,New,Clothing,Jacket,4,118.09,472.36,PayPal
TRX-362709,2026-01-21 21:01:23,70952,New,Clothing,Jacket,2,73.45,146.9,Credit Card
TRX-392993,2025-10-28 06:27:17,16006,VIP,Home & Garden,Blender,4,32.29,129.16,Credit Card
TRX-872663,2025-11-07 11:56:49,89887,Regular,Clothing,Jacket,1,101.77,101.77,Debit Card
TRX-206900,2026-01-19 03:18:51,58434,VIP,Clothing,Jacket,5,136.24,681.2,Credit Card
TRX-452058,2025-10-21 03:49:36,87236,Regular,Sports,Yoga Mat,1,26.73,26.73,Debit Card
TRX-231113,2026-02-07 08:15:53,21542,New,Home & Garden,Coffee Maker,2,59.14,118.28,Credit Card
TRX-221591,2025-12-21 03:13:47,35825,Regular,Clothing,Jacket,1,138.55,138.55,PayPal
TRX-540467,2025-11-23 11:21:27,18418,Regular,Home & Garden,Blender,1,31.52,31.52,Debit Card
TRX-436814,2025-06-09 13:12:57,53404,New,Clothing,Jacket,1,78.61,78.61,Credit Card
TRX-902575,2025-08-07 00:05:58,37460,New,Electronics,Monitor,1,178.39,178.39,Credit Card
TRX-381521,2025-12-05 09:00:23,57472,VIP,Home & Garden,Plant Pot,3,24.54,73.62,Credit Card
TRX-201866,2025-07-25 15:49:13,87812,VIP,Clothing,Jeans,2,63.49,126.98,Credit Card
TRX-641228,2026-03-05 07:12:41,27927,Regular,Electronics,Headphones,1,107.27,107.27,Debit Card
TRX-251422,2025-08-20 02:41:45,82357,New,Electronics,Laptop,1,1482.23,1482.23,Credit Card
TRX-743829,2026-02-11 02:30:00,69473,Regular,Clothing,Jacket,4,115.75,463.0,Credit Card
TRX-164612,2025-05-25 02:06:50,92242,Regular,Electronics,Smartphone,1,772.1,772.1,Debit Card
TRX-241144,2026-02-09 13:07:10,40947,Regular,Home & Garden,Plant Pot,1,20.47,20.47,Cash
TRX-452909,2025-08-25 21:35:21,69470,New,Clothing,T-Shirt,1,27.8,27.8,Debit Card
TRX-581498,2025-08-03 20:56:14,92960,New,Home & Garden,Lamp,2,43.43,86.86,PayPal
TRX-554793,2026-04-28 16:22:20,80804,New,Sports,Dumbbells,1,22.52,22.52,Credit Card
TRX-946567,2026-01-21 17:30:41,59672,New,Electronics,Smartphone,1,602.59,602.59,Credit Card
TRX-376359,2025-10-15 05:04:42,33405,Regular,Electronics,Smartphone,1,641.61,641.61,PayPal
TRX-244850,2025-12-21 21:01:43,59856,New,Clothing,T-Shirt,2,29.18,58.36,Debit Card
TRX-975194,2026-03-26 14:18:41,14278,Regular,Clothing,Sneakers,3,66.97,200.91,Cash
TRX-215593,2025-10-22 17:23:49,97835,Regular,Electronics,Laptop,2,1452.57,2905.14,Credit Card
TRX-952878,2026-02-17 04:52:25,19358,Regular,Clothing,Jacket,1,145.92,145.92,Credit Card
TRX-613405,2025-10-26 10:46:54,87993,New,Electronics,Smartphone,1,926.94,926.94,Cash
TRX-366086,2025-11-11 23:18:28,44687,Regular,Clothing,Jacket,3,87.13,261.39,Debit Card
TRX-367946,2025-08-25 13:24:54,59941,Regular,Home & Garden,Blender,4,78.69,314.76,Credit Card
TRX-286650,2025-08-17 01:03:41,55236,Regular,Clothing,Jeans,1,43.54,43.54,Debit Card
TRX-796482,2026-03-18 15:36:09,23173,New,Clothing,T-Shirt,1,22.96,22.96,Credit Card
TRX-913864,2025-12-11 08:42:20,65333,New,Clothing,Sneakers,1,56.11,56.11,Credit Card
TRX-440536,2025-10-23 17:50:18,96200,New,Sports,Tennis Racket,1,106.43,106.43,Credit Card
TRX-744883,2025-12-17 10:09:33,20735,New,Electronics,Laptop,2,869.7,1739.4,PayPal
TRX-719221,2025-10-08 06:29:31,22656,New,Sports,Tennis Racket,1,147.9,147.9,PayPal
TRX-674295,2025-11-19 10:11:16,37801,VIP,Home & Garden,Blender,4,39.73,158.92,PayPal
TRX-867543,2025-05-23 23:40:08,26361,New,Home & Garden,Coffee Maker,2,73.37,146.74,Credit Card
TRX-502491,2026-02-18 03:43:22,10425,Regular,Electronics,Monitor,1,187.43,187.43,Debit Card
TRX-730133,2025-09-08 22:11:16,28726,New,Clothing,Jacket,2,123.94,247.88,Credit Card
TRX-422998,2025-10-05 07:12:20,31299,Regular,Sports,Yoga Mat,1,25.38,25.38,Debit Card
TRX-243260,2025-08-21 04:09:28,19545,New,Clothing,T-Shirt,1,19.63,19.63,Debit Card
TRX-974774,2026-03-11 23:15:15,81819,New,Sports,Yoga Mat,1,23.49,23.49,Debit Card
TRX-583145,2025-12-31 18:18:27,67125,Regular,Clothing,Sneakers,3,108.14,324.42,PayPal
TRX-290724,2025-09-30 12:33:56,71261,Regular,Home & Garden,Coffee Maker,1,49.48,49.48,PayPal
TRX-634510,2025-07-27 01:28:50,91959,VIP,Electronics,Smartphone,4,917.33,3669.32,Debit Card
TRX-856648,2025-09-03 16:24:06,43466,New,Clothing,Jeans,4,42.03,168.12,Credit Card
TRX-340977,2025-09-24 14:07:10,27224,New,Sports,Yoga Mat,1,21.3,21.3,Credit Card
TRX-219562,2025-06-07 13:06:46,51359,Regular,Clothing,Jacket,4,76.65,306.6,Credit Card
TRX-245766,2026-03-14 00:17:12,51114,Regular,Home & Garden,Coffee Maker,3,84.43,253.29000000000002,Debit Card
TRX-110215,2025-07-08 07:01:59,80008,New,Sports,Tennis Racket,1,94.11,94.11,Debit Card
TRX-796353,2026-03-17 08:06:59,62262,Regular,Clothing,Jacket,1,79.24,79.24,Debit Card
TRX-318677,2026-01-31 10:31:31,70482,Regular,Electronics,Laptop,4,836.0,3344.0,PayPal
TRX-227310,2026-03-24 02:58:07,93283,Regular,Clothing,T-Shirt,2,20.15,40.3,Debit Card
TRX-912402,2025-08-27 08:08:15,72402,Regular,Home & Garden,Lamp,2,24.44,48.88,Credit Card
TRX-739366,2025-09-26 19:28:46,23710,New,Clothing,Jacket,1,90.02,90.02,Credit Card
TRX-410997,2025-10-13 02:37:51,68082,New,Clothing,Sneakers,2,117.59,235.18,Debit Card
TRX-362168,2025-08-26 06:26:52,99241,Regular,Sports,Tennis Racket,2,54.64,109.28,Debit Card
TRX-502642,2026-01-22 05:42:04,73653,New,Electronics,Smartphone,1,605.37,605.37,Credit Card
TRX-251352,2026-04-20 12:05:18,62976,New,Sports,Water Bottle,3,18.15,54.449999999999996,Credit Card
TRX-450791,2026-04-10 13:57:19,25129,New,Clothing,Sneakers,1,68.04,68.04,Credit Card
TRX-472566,2025-07-27 08:59:31,30676,Regular,Sports,Tennis Racket,1,72.37,72.37,Debit Card
TRX-239580,2026-02-05 14:39:02,22978,Regular,Sports,Yoga Mat,1,30.45,30.45,Credit Card
TRX-465484,2026-01-30 16:45:05,17816,VIP,Sports,Tennis Racket,2,85.49,170.98,Debit Card
TRX-366893,2025-11-30 12:27:01,91070,Regular,Electronics,Smartphone,1,962.72,962.72,Credit Card
TRX-170416,2025-10-18 03:34:27,57942,Regular,Electronics,Monitor,1,356.72,356.72,Credit Card
TRX-951307,2026-01-26 09:43:33,29340,Regular,Clothing,Jacket,1,71.65,71.65,Debit Card
TRX-678469,2025-12-17 15:09:57,95215,Regular,Electronics,Laptop,1,1498.58,1498.58,Credit Card
TRX-711868,2025-11-03 07:02:29,44671,New,Clothing,Jacket,1,97.05,97.05,Debit Card
TRX-371224,2026-02-15 13:45:28,62383,Regular,Electronics,Monitor,1,306.34,306.34,Debit Card
TRX-565909,2026-03-13 09:37:05,84000,New,Sports,Yoga Mat,3,27.12,81.36,PayPal
TRX-630930,2025-05-26 11:31:17,74722,VIP,Sports,Tennis Racket,2,135.37,270.74,Credit Card
TRX-278875,2026-03-22 08:16:55,95394,New,Home & Garden,Coffee Maker,4,87.79,351.16,Debit Card
TRX-148439,2026-02-21 01:22:38,93810,Regular,Sports,Water Bottle,1,12.11,12.11,Credit Card
TRX-824139,2025-09-06 08:56:41,65518,VIP,Sports,Dumbbells,3,59.16,177.48,Debit Card
TRX-208699,2026-02-24 07:50:53,44600,Regular,Home & Garden,Lamp,2,38.03,76.06,Debit Card
TRX-615895,2025-07-12 15:15:31,79514,Regular,Electronics,Smartphone,1,832.24,832.24,Credit Card
TRX-227706,2026-01-30 16:40:20,49139,New,Sports,Dumbbells,2,46.1,92.2,PayPal
TRX-965339,2025-07-20 08:15:24,62098,Regular,Clothing,Jeans,2,60.44,120.88,Credit Card
TRX-817941,2025-10-28 03:32:00,56955,New,Clothing,Jeans,1,57.85,57.85,Cash
TRX-352064,2026-01-11 20:47:51,24996,Regular,Electronics,Monitor,1,385.26,385.26,PayPal
TRX-632623,2025-06-09 16:19:54,53573,Regular,Clothing,Sneakers,3,69.14,207.42000000000002,Credit Card
TRX-240173,2025-09-30 22:22:10,32871,Regular,Sports,Tennis Racket,1,127.23,127.23,Debit Card
TRX-897846,2025-07-27 06:09:41,25157,Regular,Clothing,Jeans,1,62.59,62.59,Credit Card
TRX-766683,2025-11-11 01:18:07,83259,Regular,Home & Garden,Blender,2,48.6,97.2,Credit Card
TRX-261050,2025-05-21 20:57:22,52600,Regular,Home & Garden,Lamp,4,26.27,105.08,PayPal
TRX-904812,2026-02-13 12:00:37,81987,New,Home & Garden,Coffee Maker,1,53.99,53.99,Credit Card
TRX-660814,2025-05-02 23:54:58,25220,Regular,Home & Garden,Coffee Maker,1,56.92,56.92,Debit Card
TRX-956429,2026-04-30 16:02:57,68028,Regular,Electronics,Laptop,1,862.63,862.63,PayPal
TRX-725843,2026-01-26 15:19:51,26021,New,Home & Garden,Blender,4,47.0,188.0,Credit Card
TRX-872714,2025-05-01 08:34:43,80644,New,Electronics,Smartphone,1,763.34,763.34,Cash
TRX-816514,2026-02-22 20:02:50,91057,Regular,Electronics,Monitor,3,398.54,1195.6200000000001,PayPal
TRX-785864,2025-11-15 19:09:00,57819,VIP,Home & Garden,Plant Pot,5,11.79,58.949999999999996,Credit Card
TRX-230208,2026-01-09 14:54:45,91057,Regular,Home & Garden,Lamp,1,30.79,30.79,Credit Card
TRX-898977,2025-11-13 04:13:56,57795,New,Home & Garden,Blender,1,32.54,32.54,PayPal
TRX-269170,2025-08-20 13:23:21,30926,Regular,Clothing,Sneakers,1,58.39,58.39,PayPal
TRX-210335,2025-11-12 14:14:05,42087,New,Home & Garden,Lamp,1,24.92,24.92,PayPal
TRX-695578,2026-02-16 16:41:05,96275,Regular,Clothing,T-Shirt,1,18.89,18.89,Debit Card
TRX-828864,2026-03-03 02:37:17,15778,New,Clothing,Jacket,1,103.0,103.0,Credit Card
TRX-684056,2025-05-23 12:32:43,28131,New,Clothing,Jeans,1,53.05,53.05,PayPal
TRX-320855,2025-10-26 06:34:28,17894,Regular,Sports,Tennis Racket,4,106.35,425.4,Credit Card
TRX-856086,2025-05-20 16:26:46,77391,Regular,Electronics,Smartphone,1,749.52,749.52,Credit Card
TRX-187436,2025-11-01 13:54:34,12799,New,Clothing,Jacket,1,110.84,110.84,Debit Card
TRX-946934,2025-08-31 13:22:22,44438,Regular,Home & Garden,Plant Pot,1,21.03,21.03,Cash
TRX-693643,2026-03-27 18:05:18,47388,New,Home & Garden,Blender,1,66.1,66.1,Credit Card
TRX-506963,2026-02-04 19:54:34,10425,Regular,Electronics,Smartphone,1,514.41,514.41,Credit Card
TRX-914320,2025-12-22 10:22:08,86011,Regular,Home & Garden,Blender,1,33.97,33.97,Debit Card
TRX-263833,2025-12-13 00:36:13,70946,VIP,Sports,Water Bottle,2,18.44,36.88,Credit Card
TRX-726909,2025-08-06 03:23:19,80468,Regular,Home & Garden,Blender,1,57.44,57.44,Credit Card
TRX-111949,2025-08-11 16:53:35,98184,Regular,Sports,Water Bottle,1,14.04,14.04,Debit Card
TRX-281361,2025-07-16 13:16:34,30232,New,Clothing,Jeans,1,43.52,43.52,Credit Card
TRX-560438,2025-10-09 04:00:12,22219,Regular,Electronics,Monitor,1,339.45,339.45,Debit Card
TRX-592984,2025-07-10 05:36:13,44237,Regular,Sports,Water Bottle,3,21.02,63.06,Debit Card
TRX-533648,2025-09-03 07:48:30,80008,New,Home & Garden,Coffee Maker,2,81.89,163.78,Debit Card
TRX-835716,2026-04-13 11:36:47,92397,Regular,Sports,Yoga Mat,2,30.12,60.24,Debit Card
TRX-717766,2025-10-09 18:23:55,45838,Regular,Clothing,Jacket,1,120.51,120.51,Credit Card
TRX-416503,2025-05-03 06:09:36,45003,VIP,Home & Garden,Plant Pot,1,21.23,21.23,Credit Card
TRX-133223,2025-06-06 00:25:19,69245,Regular,Clothing,Sneakers,1,84.65,84.65,Credit Card
TRX-982495,2025-12-27 13:32:39,17355,Regular,Sports,Water Bottle,1,14.77,14.77,Credit Card
TRX-250255,2026-02-23 13:01:14,73483,Regular,Sports,Yoga Mat,1,17.04,17.04,Credit Card
TRX-420297,2026-02-01 12:09:25,16629,New,Clothing,Sneakers,3,60.96,182.88,PayPal
TRX-705950,2025-05-10 08:56:35,85880,Regular,Sports,Dumbbells,3,42.0,126.0,Debit Card
TRX-257352,2026-04-19 20:12:12,73242,Regular,Electronics,Smartphone,1,583.1,583.1,Debit Card
TRX-966028,2025-06-05 00:08:31,19329,New,Electronics,Monitor,2,310.55,621.1,Credit Card
TRX-489398,2026-03-18 17:03:32,17665,Regular,Home & Garden,Lamp,1,44.05,44.05,Credit Card
TRX-312035,2025-07-20 17:18:40,45683,New,Clothing,T-Shirt,1,27.56,27.56,Debit Card
TRX-245893,2025-06-29 09:26:25,16764,New,Sports,Tennis Racket,3,87.89,263.67,PayPal
TRX-531603,2026-02-16 22:23:26,51441,VIP,Electronics,Headphones,1,59.48,59.48,Credit Card
TRX-712614,2025-05-05 09:24:14,97806,Regular,Electronics,Laptop,1,1214.97,1214.97,Credit Card
TRX-843788,2025-07-27 06:28:10,89730,Regular,Electronics,Laptop,3,1116.13,3348.3900000000003,Debit Card
TRX-304355,2025-05-02 21:15:55,98381,New,Clothing,Sneakers,1,69.81,69.81,Credit Card
TRX-712262,2025-07-30 20:38:37,33021,New,Electronics,Monitor,2,332.43,664.86,Credit Card
TRX-186993,2026-04-28 19:32:28,86019,New,Clothing,Jacket,1,104.05,104.05,Debit Card
TRX-720432,2025-11-08 07:23:20,67199,New,Electronics,Headphones,1,92.22,92.22,PayPal
TRX-128202,2025-07-25 19:16:20,35242,New,Electronics,Laptop,2,1245.15,2490.3,Credit Card
TRX-555851,2025-05-05 07:30:20,58689,Regular,Sports,Water Bottle,1,13.92,13.92,Credit Card
TRX-227980,2025-11-06 16:46:49,43082,New,Home & Garden,Blender,1,30.9,30.9,Credit Card
TRX-584202,2025-08-19 03:24:56,42662,Regular,Sports,Yoga Mat,2,27.61,55.22,Debit Card
TRX-244892,2025-10-08 00:00:02,44737,Regular,Home & Garden,Coffee Maker,4,89.53,358.12,Credit Card
TRX-335445,2025-05-11 15:39:40,90301,Regular,Home & Garden,Lamp,3,22.0,66.0,Credit Card
TRX-716886,2025-05-28 08:53:11,27146,Regular,Electronics,Smartphone,1,672.75,672.75,Credit Card
TRX-967962,2026-02-06 16:02:26,93695,Regular,Sports,Dumbbells,2,57.13,114.26,Debit Card
TRX-924558,2026-02-24 00:45:31,40217,Regular,Sports,Yoga Mat,3,26.69,80.07000000000001,Debit Card
TRX-518582,2025-08-10 16:09:06,74042,Regular,Home & Garden,Plant Pot,2,17.7,35.4,Credit Card
TRX-669128,2025-10-16 23:35:40,46434,New,Sports,Water Bottle,1,21.74,21.74,PayPal
TRX-141814,2026-01-20 18:46:26,24168,Regular,Home & Garden,Lamp,1,20.7,20.7,Debit Card
TRX-827424,2026-02-14 04:11:10,99016,VIP,Sports,Tennis Racket,1,98.74,98.74,Credit Card
TRX-761732,2026-03-18 12:51:34,35313,Regular,Electronics,Smartphone,2,563.7,1127.4,PayPal
TRX-291059,2026-03-24 01:25:23,60205,New,Home & Garden,Lamp,2,36.77,73.54,Cash
TRX-950138,2025-06-19 14:52:54,98501,New,Clothing,Jacket,1,147.61,147.61,Credit Card
TRX-230748,2025-10-05 04:12:07,29528,Regular,Sports,Dumbbells,2,22.41,44.82,Credit Card
TRX-312146,2026-01-23 03:04:32,21114,Regular,Electronics,Laptop,1,1112.64,1112.64,Credit Card
TRX-416655,2025-10-11 19:11:54,38683,New,Clothing,Sneakers,1,56.87,56.87,Credit Card
TRX-902719,2025-09-17 11:31:53,92345,Regular,Electronics,Monitor,2,380.04,760.08,PayPal
TRX-927942,2025-06-27 09:40:41,13278,New,Home & Garden,Lamp,1,53.52,53.52,PayPal
TRX-190025,2025-06-14 18:46:43,59131,Regular,Clothing,Jacket,1,95.93,95.93,Credit Card
TRX-868140,2025-07-15 06:54:51,38016,New,Clothing,Jeans,1,74.34,74.34,Credit Card
TRX-820141,2025-06-21 15:56:31,15720,Regular,Sports,Yoga Mat,1,29.91,29.91,Debit Card
TRX-790982,2025-07-09 18:08:48,14117,VIP,Sports,Tennis Racket,4,147.42,589.68,Credit Card
TRX-724840,2025-06-17 08:26:05,66387,New,Sports,Tennis Racket,1,109.76,109.76,Credit Card
TRX-112964,2026-03-02 04:07:02,71605,Regular,Sports,Water Bottle,4,20.21,80.84,Credit Card
TRX-258971,2026-01-27 13:55:17,10772,Regular,Electronics,Monitor,1,311.7,311.7,Credit Card
TRX-838968,2025-07-23 02:58:44,16764,New,Home & Garden,Coffee Maker,1,62.73,62.73,Debit Card
TRX-255067,2025-08-10 04:42:46,14207,Regular,Electronics,Monitor,1,207.69,207.69,Credit Card
TRX-140220,2025-10-16 00:18:23,69087,New,Clothing,T-Shirt,1,18.96,18.96,Credit Card
TRX-223264,2026-04-14 15:57:06,41850,VIP,Home & Garden,Lamp,3,26.24,78.72,Credit Card
TRX-302544,2025-07-07 20:39:55,75597,Regular,Home & Garden,Lamp,1,23.61,23.61,Debit Card
TRX-337701,2025-06-16 13:49:41,99705,New,Clothing,T-Shirt,3,26.66,79.98,Debit Card
TRX-619333,2025-07-19 23:51:43,12260,Regular,Electronics,Laptop,1,1497.27,1497.27,Credit Card
TRX-616791,2026-03-10 15:16:24,69470,New,Sports,Yoga Mat,1,29.54,29.54,PayPal
TRX-343461,2025-07-29 09:11:36,30866,New,Sports,Tennis Racket,1,107.41,107.41,Cash
TRX-365302,2025-05-17 12:20:49,20527,Regular,Clothing,Sneakers,4,113.69,454.76,Cash
TRX-549653,2025-10-08 06:11:21,32838,VIP,Home & Garden,Plant Pot,2,13.91,27.82,Credit Card
TRX-484264,2026-01-26 20:00:16,81066,Regular,Clothing,Jeans,2,73.87,147.74,Credit Card
TRX-487395,2025-10-17 20:32:57,53064,Regular,Home & Garden,Blender,4,35.37,141.48,Credit Card
TRX-322162,2025-07-26 06:19:13,11824,VIP,Clothing,T-Shirt,3,29.72,89.16,Credit Card
TRX-119628,2026-02-28 10:10:25,61173,Regular,Electronics,Monitor,1,240.5,240.5,Debit Card
TRX-370948,2026-03-03 09:11:25,91987,New,Clothing,Jeans,2,74.28,148.56,Credit Card
TRX-164454,2025-09-30 10:26:29,81228,VIP,Electronics,Laptop,4,1290.44,5161.76,PayPal
TRX-446747,2025-07-02 19:29:25,98696,Regular,Clothing,Sneakers,1,114.43,114.43,Credit Card
TRX-618206,2026-01-01 09:28:15,29080,Regular,Sports,Tennis Racket,4,72.07,288.28,Debit Card
